Tick,Step,Animal_elevation,Animal_gain_from_elevation,Animal_reproduce,BioEnergy,Rule,0_Position,1_Position,ID
4,4,109,5,5,4,R3 - Move down in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
4,4,88,5,5,4,R3 - Move down in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
4,4,166,5,5,6,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
4,4,111,5,5,4,R3 - Move down in elevation,22.0,17.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
4,4,208,5,5,9,R3 - Move down in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
4,4,60,5,5,5,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
5,5,122,5,5,19,R1 - Move up in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
5,5,38,5,5,1,R2 - Stay at same elevation,41.0,33.0,a8780678-5816-4bc4-8241-546317142707
5,5,55,5,5,19,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
5,5,185,5,5,12,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
5,5,137,5,5,16,R2 - Stay at same elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
5,5,137,5,5,4,R3 - Move down in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
5,5,94,5,5,23,R1 - Move up in elevation,3.0,16.0,6ccd3974-8638-426c-be3c-9782bd359a7b
5,5,104,5,5,18,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
5,5,169,5,5,10,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
5,5,67,5,5,17,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
5,5,139,5,5,21,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
5,5,109,5,5,6,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
5,5,88,5,5,8,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
5,5,166,5,5,5,R2 - Stay at same elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
5,5,115,5,5,3,R2 - Stay at same elevation,21.0,17.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
5,5,208,5,5,3,R3 - Move down in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
5,5,60,5,5,9,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
6,6,122,5,5,18,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
6,6,38,5,5,5,R1 - Move up in elevation,41.0,33.0,a8780678-5816-4bc4-8241-546317142707
6,6,55,5,5,13,R3 - Move down in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
6,6,185,5,5,16,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
6,6,137,5,5,10,R3 - Move down in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
6,6,137,5,5,1,R2 - Stay at same elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
6,6,108,5,5,17,R3 - Move down in elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
6,6,104,5,5,22,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
6,6,169,5,5,9,R2 - Stay at same elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
6,6,67,5,5,11,R3 - Move down in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
6,6,82,5,5,7,R1 - Move up in elevation,26.0,10.0,204073e1-ffa5-44e6-9857-9ebb7232405b
6,6,139,5,5,20,R2 - Stay at same elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
6,6,109,5,5,10,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
6,6,88,5,5,12,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
6,6,166,5,5,9,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
6,6,125,5,5,-3,R4 - Death by BioEnergy loss,20.0,17.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
6,6,208,5,5,2,R2 - Stay at same elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
6,6,60,5,5,13,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
7,7,122,5,5,22,R1 - Move up in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
7,7,38,5,5,-3,R4 - Death by BioEnergy loss,41.0,33.0,a8780678-5816-4bc4-8241-546317142707
7,7,55,5,5,17,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
7,7,185,5,5,20,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
7,7,137,5,5,14,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
